venta_id,sucursal_id,producto_id,cantidad,monto_total,metodo_pago,fecha_venta,canal
V004700,S36,P01938,3,751.01,Transferencia bancaria,2026-06-12,ecommerce
V011438,S06,P00742,3,13178.5,tarjeta,2026-07-16,ecommerce
V002647,S35,P00653,4,6477.51,YAPE,2026-05-22,ecommerce
V003583,S08,P01154,3,2318.85,Plin,2026-03-03,tienda_fisica
V009945,S32,P01875,4,15456.03,Plin,2026-05-04,tienda_fisica
V014530,S10,P00829,3,9290.24,Efectivo,2026-05-01,tienda_fisica
V007858,S30,P02513,4,1941.53,plin,2026-08-24,tienda_fisica
V006706,S06,P02665,2,2066.26,YAPE,2026-06-08,tienda_fisica
V012988,S09,P02435,1,1834.87,efectivo,02/03/2026,tienda_fisica
V010506,S17,P00435,1,6047.87,plin,2026-05-21,tienda_fisica
V007478,S32,P01336,1,6156.86,Plin,2026-07-12,tienda_fisica
V013341,S02,P02187,2,6039.01,TARJETA,2026-05-28,ecommerce
V014921,S13,P01050,1,601.95,Plin,2026-02-02,tienda_fisica
V014681,S09,P02591,3,7200.24,PLIN,2026-07-08,ecommerce
V010512,S33,P02905,4,15370.88,tarjeta_credito,2026-03-25,ecommerce
V007436,S16,P01531,4,3169.93,EFECTIVO,2026-07-28,tienda_fisica
V004858,S14,P01894,3,11700.79,plin,2026-08-08,tienda_fisica
V001514,S11,P01337,4,24983.92,yape,2026-07-01,tienda_fisica
V002420,S19,P00083,3,2274.96,tarjeta,2026-05-06,tienda_fisica
V014422,S03,P01607,3,15960.84,transferencia,2026-07-25,tienda_fisica
V009334,S26,P01880,4,-31324.51,tarjeta_credito,2026-05-07,tienda_fisica
V004869,S27,P02381,4,31964.81,tarjeta,2026-07-23,tienda_fisica
V003316,S18,P00450,2,6864.5,plin,2026-07-18,tienda_fisica
V014970,S09,P02689,4,31016.9,transferencia,2026-05-01,tienda_fisica
V000567,S35,P01503,3,8681.15,tarjeta,2026-08-18,tienda_fisica
V012925,S35,P00351,4,10446.31,Transferencia bancaria,2026-01-14,ecommerce
V006996,S34,P00607,3,10079.21,TARJETA,2026-02-13,ecommerce
V005238,S16,P01205,1,150.42,YAPE,2026-08-26,tienda_fisica
V003422,S16,P02219,2,14230.97,transferencia,2026-01-02,tienda_fisica
V012797,S13,P02958,3,11025.46,yape,2026-06-12,tienda_fisica
V010568,S18,P02196,3,17313.36,TARJETA,2026-03-28,ecommerce
V009831,S10,P02041,1,6735.79,tarjeta_credito,2026-06-22,ecommerce
V009644,S13,P02854,3,4334.63,PLIN,2026-08-16,tienda_fisica
V012087,S30,P00210,3,21469.67,Transferencia bancaria,2026-06-10,tienda_fisica
V008892,S33,P01709,4,16938.57,EFECTIVO,2026-04-26,tienda_fisica
V012474,S39,P00775,4,1355.33,plin,2026-03-04,tienda_fisica
V007931,S36,P00381,4,2125.38,tarjeta,2026-02-22,tienda_fisica
V004243,S17,P02329,3,2340.89,Transferencia bancaria,2026-06-16,tienda_fisica
V001654,S14,P02888,1,6676.07,TARJETA,2026-03-01,ecommerce
V005685,S17,P00134,3,4774.26,Tarjeta de credito,2026-06-26,tienda_fisica
V003537,S31,P02634,2,8914.44,PLIN,2026-06-24,tienda_fisica
V007667,S16,P00370,3,1516.39,EFV,2026-05-10,tienda_fisica
V002626,S04,P02624,4,26563.56,Transferencia bancaria,2026-01-19,tienda_fisica
V012507,S06,P01107,2,9070.03,tarjeta,2026-06-03,tienda_fisica
V007729,S27,P01792,3,2474.2,efectivo,2026-05-28,tienda_fisica
V009257,S10,P02063,3,5272.07,Yape,2026-06-20,ecommerce
V013117,S05,P00690,1,6439.14,TC,2026-05-25,tienda_fisica
V004195,S24,P01013,3,10618.2,PLIN,2026-07-17,tienda_fisica
V002215,S17,P01107,1,6404.55,Plin,2026-07-10,tienda_fisica
V013854,S19,P01194,1,,efectivo,2026-05-06,tienda_fisica
V006198,S22,P02919,4,5638.16,efectivo,2026-05-20,tienda_fisica
V004687,S23,P01378,4,24958.13,Yape,2026-08-27,tienda_fisica
V006534,S33,P01372,1,0,PLIN,2026-04-19,ecommerce
V011043,S11,P00729,4,13311.15,Yape,20/01/2026,ecommerce
V004287,S20,P01091,3,15274.72,transferencia,2026-04-28,ecommerce
V004780,S26,P01366,3,8648.78,Yape,10/07/2026,tienda_fisica
V008269,S39,P00842,1,5397.47,TC,11/08/2026,tienda_fisica
V004765,S25,P01775,1,7783.56,Plin,2026-03-28,tienda_fisica
V003622,S18,P00446,3,20479.99,efectivo,2026-04-27,tienda_fisica
V009096,S40,P02122,3,,Plin,2026-05-17,tienda_fisica
V009793,S05,P02638,4,18020.84,TC,2026-01-17,tienda_fisica
V004295,S40,P02792,2,11689.33,Plin,2026-08-12,ecommerce
V003917,S28,P01182,1,-1277.78,Tarjeta de credito,2026-03-27,tienda_fisica
V009605,S22,P00325,1,6105.19,YAPE,2026-02-02,tienda_fisica
V009090,S14,P02746,4,27689.11,tarjeta_credito,2026-03-06,tienda_fisica
V005853,S36,P02560,4,13191.95,tarjeta_credito,2026-04-21,ecommerce
V000103,S30,P02642,4,30458.33,Efectivo,2026-03-27,tienda_fisica
V011703,S32,P01998,3,2659.71,yape,2026-01-23,ecommerce
V011028,S39,P00307,4,24120.37,PLIN,2026-06-21,ecommerce
V010471,S04,P01226,1,2850.29,efectivo,2026-07-14,tienda_fisica
V013510,S16,P01448,4,17455.99,EFV,2026-02-19,tienda_fisica
V000921,S38,P01528,4,19349.02,PLIN,2026-07-12,tienda_fisica
V007845,S38,P02422,1,1830.41,EFECTIVO,2026-04-19,tienda_fisica
V000511,S25,P00180,3,13459.45,efectivo,2026-08-07,tienda_fisica
V003255,S13,P00526,3,3783.52,Transferencia bancaria,2026-05-11,tienda_fisica
V005481,S27,P00362,1,2432.35,Transferencia bancaria,2026-08-06,tienda_fisica
V005462,S26,P01253,4,25692.97,tarjeta,2026-02-25,ecommerce
V013109,S06,P01699,1,5754.96,Transferencia bancaria,2026-05-23,ecommerce
V006835,S12,P01127,1,2472.36,tarjeta,2026-07-24,tienda_fisica
V014789,S26,P02935,1,2632.14,YAPE,2026-05-01,ecommerce
V006828,S34,P02532,4,16580.99,tarjeta_credito,2026-02-20,ecommerce
V008147,S19,P02537,3,8882.1,Transferencia bancaria,2026-08-14,ecommerce
V014726,,P01725,2,9292.76,plin,2026-08-12,ecommerce
V007807,S15,P02103,2,12771.02,YAPE,2026-04-11,tienda_fisica
V011705,S03,P01233,1,,efectivo,2026-03-16,tienda_fisica
V006176,S10,P01647,1,1086.82,YAPE,2026-01-16,tienda_fisica
V011808,S07,P02369,1,4301.97,Tarjeta de credito,2026-04-09,ecommerce
V001084,S23,P00243,4,25671.12,EFV,2026-08-12,tienda_fisica
V005413,S29,P00213,1,5391.24,tarjeta_credito,2026-01-01,tienda_fisica
V003256,S04,P02717,2,653.17,TC,2026-06-19,tienda_fisica
V002674,S36,P00135,1,6514.27,transferencia,2026-03-16,ecommerce
V009755,S36,P02124,1,3319.17,transferencia,2026-08-26,tienda_fisica
V008044,S17,P01391,2,7923.27,Plin,2026-07-03,ecommerce
V008769,S28,P01774,1,5549.84,tarjeta_credito,2026-04-03,ecommerce
V011383,S34,P00365,1,4468.66,Efectivo,2026-04-26,tienda_fisica
V006436,S13,P01788,1,465.18,EFV,2026-07-20,tienda_fisica
V009076,S12,P01195,4,9096.29,tarjeta_credito,2026-08-23,tienda_fisica
V010449,S37,P01719,4,14808.92,efectivo,2026-08-06,tienda_fisica
V009628,S28,P02239,2,11277.82,Transferencia bancaria,2026-04-03,ecommerce
V008100,S16,P00862,3,17001.83,EFV,2026-04-18,tienda_fisica
V012415,S03,P02908,3,21571.61,PLIN,2026-06-27,tienda_fisica
V002495,S03,P00528,2,423.01,TC,2026-08-12,tienda_fisica
V011889,,P02097,1,4394.58,transferencia,2026-03-03,ecommerce
V013573,S08,P00930,2,8848.87,transferencia,2026-07-14,tienda_fisica
V012747,S02,P00094,3,7037.58,EFECTIVO,2026-07-12,tienda_fisica
V004842,S20,P01559,1,7435.11,transferencia,2026-01-15,tienda_fisica
V011121,S31,P00662,1,6049.45,YAPE,2026-03-16,ecommerce
V009646,S32,P01112,4,9318.54,plin,2026-03-21,tienda_fisica
V000923,S37,P00003,1,5458.84,TARJETA,2026-08-13,tienda_fisica
V001895,S01,P02367,3,4360.53,yape,2026-01-17,tienda_fisica
V013286,S39,P01114,4,12248.07,TC,2026-03-22,ecommerce
V000612,S02,P02255,4,12118.73,EFV,2026-05-20,tienda_fisica
V008601,S08,P01656,4,29492.49,Plin,2026-04-04,tienda_fisica
V001626,,P01420,4,22815.86,Transferencia bancaria,2026-02-27,tienda_fisica
V010980,S15,P00911,3,12033.31,Tarjeta de credito,2026-05-15,ecommerce
V004377,S18,P02532,3,3012.06,yape,2026-08-11,ecommerce
V006206,S28,P02687,3,14154.29,Efectivo,2026-04-27,tienda_fisica
V007796,S16,P00126,2,12553.32,EFECTIVO,2026-07-04,tienda_fisica
V012380,S02,P02216,2,6223.77,transferencia,2026-04-11,tienda_fisica
V014730,S04,P01573,1,3306.36,plin,2026-08-10,tienda_fisica
V011780,S35,P02296,2,12819.61,Plin,2026-02-02,tienda_fisica
V004300,S39,P01468,2,7713.17,efectivo,2026-02-07,ecommerce
V009988,S08,P01730,3,716.65,TARJETA,2026-08-15,ecommerce
V000028,S26,P01590,1,7003.65,TARJETA,2026-05-05,tienda_fisica
V007903,S20,P02217,2,14426.12,Tarjeta de credito,2026-01-21,tienda_fisica
V000102,S25,P02023,2,4975.62,Yape,2026-05-10,tienda_fisica
V006383,S11,P00416,1,4619.59,Plin,2026-01-18,tienda_fisica
V011108,S10,P00878,3,12376.02,tarjeta_credito,2026-03-19,tienda_fisica
V012189,S37,P02605,4,10976.24,yape,2026-01-15,tienda_fisica
V003089,S15,P00962,4,1823.85,tarjeta,2026-06-10,tienda_fisica
V009194,S20,P00772,1,,plin,2026-02-02,ecommerce
V009232,S01,P02844,2,6043.51,TC,2026-06-04,tienda_fisica
V004820,S36,P01946,3,15088.0,yape,2026-08-01,tienda_fisica
V013752,S29,P02050,4,30912.83,efectivo,2026-06-27,ecommerce
V004839,S33,P02747,2,-6309.98,EFECTIVO,2026-07-28,tienda_fisica
V011753,S39,P02306,3,3326.81,efectivo,2026-07-15,tienda_fisica
V005717,S17,P00869,2,15358.22,transferencia,2026-04-15,tienda_fisica
V002857,S01,P00951,1,2627.41,EFV,2026-04-13,tienda_fisica
V006454,S14,P01970,3,1016.29,tarjeta,2026-03-25,tienda_fisica
V012693,S19,P00823,2,14375.78,transferencia,2026-06-21,tienda_fisica
V000598,S08,P00757,4,5906.1,EFECTIVO,2026-04-16,tienda_fisica
V010258,S15,P00754,1,4606.94,plin,2026-02-25,tienda_fisica
V014189,S40,P01884,4,-24404.91,yape,2026-07-24,tienda_fisica
V008029,S21,P02488,4,5101.59,EFV,2026-05-24,tienda_fisica
V001962,S39,P01210,2,1150.58,efectivo,2026-04-10,tienda_fisica
V010068,S25,P02306,1,7097.54,TC,2026-06-01,ecommerce
V012739,S34,P00658,4,21348.8,plin,2026-01-10,tienda_fisica
V002914,S04,P02665,3,11934.49,transferencia,2026-02-11,tienda_fisica
V003043,S30,P00801,0,11151.98,EFECTIVO,2026-05-17,tienda_fisica
V000725,S26,P02473,4,30502.22,Transferencia bancaria,27/07/2026,tienda_fisica
V002057,S37,P01323,2,12770.62,TC,2026-08-01,tienda_fisica
V009992,S29,P02329,4,14729.1,TARJETA,2026-01-07,tienda_fisica
V010490,S27,P02368,1,2840.56,transferencia,2026-03-01,tienda_fisica
V002560,S12,P01165,1,163.85,YAPE,2026-05-09,tienda_fisica
V011188,S14,P01912,3,2040.0,YAPE,2026-06-25,ecommerce
V009993,S23,P02752,2,7585.14,plin,2026-06-19,tienda_fisica
V003543,S11,P00625,2,5418.33,plin,2026-04-03,tienda_fisica
V013163,S01,P00958,2,6568.08,PLIN,2026-06-07,tienda_fisica
V008844,S26,P01684,3,16729.24,EFECTIVO,2026-02-04,tienda_fisica
V008828,S10,P00974,3,20021.5,Transferencia bancaria,2026-08-20,ecommerce
V007013,S12,P02189,2,5946.11,Plin,2026-08-07,tienda_fisica
V006131,S40,P00380,2,13034.39,PLIN,2026-03-01,tienda_fisica
V011096,S15,P00795,3,11166.52,YAPE,2026-07-13,tienda_fisica
V002145,S37,P01750,2,9644.21,EFV,2026-04-07,ecommerce
V009079,S34,P00833,2,3799.4,Transferencia bancaria,2026-04-25,tienda_fisica
V005591,S11,P00191,1,4701.36,TC,2026-04-05,tienda_fisica
V010735,S13,P00578,1,7391.21,Tarjeta de credito,2026-06-08,tienda_fisica
V002641,S14,P01928,3,777.93,EFECTIVO,2026-06-17,ecommerce
V006041,S03,P00832,4,14521.42,tarjeta_credito,2026-07-14,tienda_fisica
V004279,S19,P02856,2,5382.82,Plin,2026-02-18,ecommerce
V004967,S34,P02722,4,9186.15,Yape,2026-03-07,tienda_fisica
V000236,S23,P02072,1,1697.12,tarjeta,2026-01-27,ecommerce
V001623,S07,P00459,3,16195.15,plin,2026-04-07,tienda_fisica
V000254,S25,P00813,1,6274.83,TARJETA,2026-01-03,ecommerce
V007691,S20,P00018,4,8534.7,YAPE,2026-01-08,tienda_fisica
V009819,S38,P01221,4,0,yape,2026-03-10,tienda_fisica
V000440,,P01968,3,10313.48,Yape,2026-01-01,tienda_fisica
V011306,S20,P02137,3,6907.3,EFECTIVO,2026-03-12,tienda_fisica
V012751,S06,P00636,3,5997.05,Tarjeta de credito,2026-02-06,ecommerce
V008388,S37,P01774,2,1641.15,TARJETA,2026-08-04,tienda_fisica
V003206,S39,P02719,4,17602.95,efectivo,2026-01-16,tienda_fisica
V005461,S36,P02024,4,795.29,Transferencia bancaria,2026-07-04,tienda_fisica
V006189,S29,P01450,3,-6051.6,Transferencia bancaria,2026-03-03,tienda_fisica
V007272,S12,P02857,2,9667.35,PLIN,2026-01-27,tienda_fisica
V010802,S18,P00922,3,19707.65,Tarjeta de credito,2026-05-14,tienda_fisica
V004302,S12,P01260,3,12903.35,tarjeta,2026-05-14,ecommerce
V002800,S12,P01712,1,3075.87,Efectivo,2026-08-27,tienda_fisica
V004122,S27,P02980,1,3559.06,tarjeta,2026-03-21,tienda_fisica
V005698,S14,P00712,3,12060.85,tarjeta,2026-03-24,tienda_fisica
V014606,S40,P00890,1,4163.08,transferencia,2026-02-05,ecommerce
V001794,S40,P01628,4,8600.57,TARJETA,2026-02-09,tienda_fisica
V008423,S01,P01221,3,10375.5,EFV,2026-06-22,tienda_fisica
V001276,S30,P02162,2,12253.22,yape,2026-05-01,tienda_fisica
V005711,S04,P02861,1,716.54,YAPE,2026-04-09,tienda_fisica
V002453,S36,P01026,2,8258.39,YAPE,2026-04-09,ecommerce
V008181,S38,P02567,3,8764.07,TARJETA,2026-04-09,tienda_fisica
V010073,S16,P00825,2,12777.05,efectivo,2026-08-05,tienda_fisica
V009094,S17,P01093,3,3980.41,Transferencia bancaria,2026-02-04,tienda_fisica
V013890,S12,P01557,3,2947.65,YAPE,2026-07-14,tienda_fisica
V013306,S18,P01171,4,11755.51,tarjeta_credito,2026-04-27,tienda_fisica
V011467,S19,P00747,3,12943.54,transferencia,2026-06-17,tienda_fisica
V013050,S02,P00460,1,7317.81,transferencia,2026-07-26,tienda_fisica
V011961,S33,P01590,2,4311.87,efectivo,2026-04-24,ecommerce
V005844,S08,P01546,2,13531.27,tarjeta,2026-01-23,ecommerce
V006759,S33,P00603,1,4926.86,tarjeta_credito,2026-02-16,tienda_fisica
V005521,S29,P02583,1,7496.14,plin,2026-05-15,tienda_fisica
V004468,S09,P02203,2,13442.03,plin,2026-01-09,tienda_fisica
V009888,S17,P00170,4,18884.37,efectivo,2026-07-01,tienda_fisica
V006931,S35,P01770,4,12117.13,TARJETA,2026-04-18,tienda_fisica
V012122,S37,P02643,2,8005.79,TARJETA,2026-08-02,tienda_fisica
V002585,S25,P02450,2,2978.49,PLIN,2026-06-23,tienda_fisica
V002066,S17,P00503,2,9924.44,YAPE,2026-04-03,ecommerce
V001874,S30,P00126,4,12621.85,Yape,2026-07-04,tienda_fisica
V002650,S35,P00545,2,6863.62,EFECTIVO,2026-07-13,tienda_fisica
V007851,S30,P00539,3,23954.3,PLIN,2026-03-23,tienda_fisica
V000595,S35,P00411,2,7279.58,Plin,2026-05-20,tienda_fisica
V004097,S33,P02175,3,11331.24,Plin,2026-08-04,tienda_fisica
V013252,S33,P00579,1,649.2,Plin,2026-06-08,tienda_fisica
V004030,S25,P02234,3,5266.11,efectivo,2026-03-15,tienda_fisica
V000228,S06,P02857,2,6284.69,Yape,2026-06-24,tienda_fisica
V001906,S04,P00640,4,10635.12,PLIN,2026-03-14,tienda_fisica
V003524,S29,P00523,1,2272.55,EFECTIVO,2026-02-20,tienda_fisica
V007827,S12,P01497,4,9869.82,yape,2026-03-03,tienda_fisica
V007624,S07,P02940,4,14995.4,Efectivo,2026-01-27,tienda_fisica
V010654,S26,P02301,3,12512.66,tarjeta_credito,2026-06-10,tienda_fisica
V007565,S04,P01548,3,19328.77,tarjeta_credito,2026-04-13,ecommerce
V008952,S36,P02446,2,9026.93,PLIN,2026-04-06,tienda_fisica
V002841,S22,P01786,3,21751.12,tarjeta,2026-01-24,tienda_fisica
V005042,S07,P00505,1,2260.28,yape,2026-07-25,tienda_fisica
V002437,S21,P01935,3,643.81,EFV,2026-02-16,tienda_fisica
V006590,S27,P00129,2,3408.42,Tarjeta de credito,2026-06-19,ecommerce
V001937,S37,P00697,3,13270.03,efectivo,2026-05-22,tienda_fisica
V009111,S39,P00103,2,11736.14,Transferencia bancaria,2026-01-10,tienda_fisica
V003475,S35,P01076,2,6264.07,Yape,2026-08-03,tienda_fisica
V001043,S25,P00312,1,4203.72,efectivo,2026-04-19,tienda_fisica
V004383,S33,P02243,1,3279.96,tarjeta,2026-02-25,tienda_fisica
V007333,S14,P01240,3,22429.51,tarjeta_credito,17/06/2026,tienda_fisica
V013340,S20,P01516,4,5397.77,Efectivo,2026-08-10,ecommerce
V009408,,P02593,4,14310.18,efectivo,2026-04-25,tienda_fisica
V005795,S40,P02801,1,5372.11,Plin,2026-03-27,tienda_fisica
V010957,S34,P01882,1,4562.02,TC,2026-01-12,tienda_fisica
V009965,S40,P02428,3,1488.46,Transferencia bancaria,2026-01-16,ecommerce
V014062,,P00409,4,24841.16,Yape,2026-08-24,tienda_fisica
V004596,S15,P01428,1,1722.39,Efectivo,2026-03-11,tienda_fisica
V010175,S33,P02267,3,22799.22,YAPE,2026-03-06,tienda_fisica
V006960,S21,P02110,2,5445.55,yape,2026-08-09,tienda_fisica
V013137,S25,P01665,1,5583.59,tarjeta,2026-04-26,tienda_fisica
V010643,S27,P00384,3,16175.03,Efectivo,2026-02-22,ecommerce
V003911,S23,P01561,3,5065.46,plin,27/04/2026,ecommerce
V004582,S09,P00667,2,-12680.94,efectivo,2026-07-18,tienda_fisica
V011535,S27,P00832,1,-7683.7,Yape,2026-08-23,tienda_fisica
V010656,S07,P01760,3,21442.23,YAPE,2026-03-10,ecommerce
V002980,S24,P02981,3,8622.92,Yape,2026-05-19,ecommerce
V014888,S07,P02723,3,,Yape,2026-08-17,tienda_fisica
V007725,S09,P02440,2,8233.36,YAPE,2026-01-14,tienda_fisica
V011362,S28,P02163,3,11275.22,tarjeta_credito,2026-07-23,ecommerce
V003384,S28,P00460,3,17076.35,EFV,2026-01-13,tienda_fisica
V006975,S09,P00826,4,17258.81,Transferencia bancaria,2026-03-25,tienda_fisica
V007979,S04,P00603,3,21778.82,EFECTIVO,2026-07-11,tienda_fisica
V011531,S15,P00725,4,4288.2,EFV,2026-02-27,tienda_fisica
V004949,S37,P00644,1,5642.8,Plin,2026-07-23,tienda_fisica
V002348,S11,P02983,1,5027.98,transferencia,2026-06-01,tienda_fisica
V000625,S31,P00969,1,1937.03,efectivo,2026-03-12,ecommerce
V011575,S40,P00786,3,12473.74,yape,2026-07-16,ecommerce
V014561,S02,P02624,4,-12273.51,TARJETA,2026-07-02,tienda_fisica
V011192,S37,P01755,2,1354.44,tarjeta,2026-02-01,tienda_fisica
V010452,S37,P02443,1,6733.86,Plin,2026-03-27,tienda_fisica
V011076,S21,P02166,1,3274.12,transferencia,2026-02-14,tienda_fisica
V011361,S03,P02083,3,23377.16,efectivo,2026-04-12,tienda_fisica
V012878,S04,P00742,4,1017.32,EFECTIVO,2026-08-22,ecommerce
V012335,S07,P00752,3,9911.19,YAPE,10/07/2026,tienda_fisica
V007907,S23,P02723,2,14922.11,TC,2026-05-28,tienda_fisica
V002764,S01,P01934,2,,EFV,2026-05-24,tienda_fisica
V014156,S12,P02134,4,19393.49,efectivo,2026-02-18,ecommerce
V002775,S31,P00907,2,12824.87,PLIN,2026-04-21,tienda_fisica
V009081,S29,P00467,3,7597.6,YAPE,2026-07-23,tienda_fisica
V006842,S23,P00165,2,14512.82,Tarjeta de credito,2026-07-26,ecommerce
V009940,S33,P01531,3,-10421.98,Yape,2026-05-05,tienda_fisica
V009973,S12,P00875,4,26268.47,Yape,2026-04-16,tienda_fisica
V002114,S29,P01368,4,22518.32,EFV,2026-03-02,tienda_fisica
V013032,S28,P02418,2,3324.81,Yape,2026-06-11,tienda_fisica
V007198,S12,P01899,4,18996.51,tarjeta,2026-08-16,tienda_fisica
V012736,S34,P01645,2,12316.5,transferencia,2026-08-15,ecommerce
V006145,S04,P02997,2,7961.39,Tarjeta de credito,2026-03-03,ecommerce
V014904,S20,P01291,2,5776.15,EFECTIVO,2026-06-24,tienda_fisica
V013905,S06,P01035,1,2387.2,TARJETA,2026-01-01,tienda_fisica
V001685,S23,P02986,1,4305.61,Yape,2026-06-09,tienda_fisica
V011411,S24,P00378,1,4606.18,TC,2026-03-20,tienda_fisica
V000126,S26,P02230,1,6021.72,Tarjeta de credito,2026-06-19,tienda_fisica
V000918,S34,P01803,1,7458.05,tarjeta_credito,2026-05-09,tienda_fisica
V011009,S40,P01813,3,7886.84,YAPE,2026-07-28,tienda_fisica
V014101,S13,P00141,1,7259.96,yape,2026-05-23,ecommerce
V000458,S33,P02516,4,26150.72,EFV,2026-08-05,ecommerce
V013638,S01,P00931,4,16997.73,transferencia,2026-04-11,ecommerce
V008479,S20,P00422,4,24876.05,plin,2026-04-14,tienda_fisica
V003663,S01,P02763,3,5053.89,Plin,2026-05-22,tienda_fisica
V001873,S38,P00772,4,25941.89,tarjeta_credito,09/06/2026,tienda_fisica
V004934,S03,P00359,3,14243.52,YAPE,2026-02-13,ecommerce
V001716,S08,P01774,4,25552.5,Plin,2026-07-21,tienda_fisica
V007749,S29,P02575,3,20149.82,yape,2026-07-07,ecommerce
V010736,S30,P01486,2,11200.45,transferencia,2026-06-04,ecommerce
V013659,S31,P02727,1,-2007.73,yape,2026-06-14,tienda_fisica
V014892,S19,P01051,3,11117.19,EFV,2026-03-22,tienda_fisica
V007320,S18,P01949,2,9180.73,Yape,2026-04-11,tienda_fisica
V010136,S31,P00712,2,7838.16,plin,2026-08-27,ecommerce
