devolucion_id,pedido_id,sucursal_id,producto_id,motivo,monto_reembolso,fecha_devolucion
D01818,PED016641,S32,P01324,envio_incorrecto,3634.17,2026-02-03
D00088,PED003831,S18,P01100,cambio_de_opinion,3895.62,2026-03-23
D03087,PED008116,S03,P02396,envio_incorrecto,-1683.66,2026-06-26
D02725,PED003423,S21,P02467,no_cumple_expectativas,3248.52,2026-02-09
D03251,PED017629,S07,P02487,producto_defectuoso,5608.32,2026-03-24
D03686,PED002642,S23,P01030,producto_dañado_en_transporte,1467.9,2026-04-01
D03812,PED006013,S13,P01373,no_cumple_expectativas,4206.14,2026-02-19
D02837,PED000095,S21,P00674,cambio_de_opinion,3930.43,2026-03-15
D02613,PED019651,S02,P01975,producto_defectuoso,3224.59,2026-06-09
D02244,PED004863,S20,P02097,no_cumple_expectativas,3354.65,2026-05-02
D00082,PED012504,S01,P01833,no_cumple_expectativas,2208.18,2026-03-22
D02330,PED012284,S36,P01528,envio_incorrecto,1146.06,2026-02-19
D03557,PED002550,S35,P00202,producto_defectuoso,5606.55,2026-05-08
D03233,PED003008,S26,P02400,envio_incorrecto,5372.37,2026-02-22
D00182,PED013758,S34,P01301,producto_dañado_en_transporte,4191.8,2026-07-14
D03155,PED013552,S15,P02785,cambio_de_opinion,4165.05,2026-08-12
D02735,PED002894,S13,P01784,envio_incorrecto,3915.81,2026-01-16
D01358,PED001152,S16,P01512,garantia,2022.58,2026-06-21
D01198,PED016038,S23,P02010,envio_incorrecto,775.67,2026-01-11
D01590,PED004738,S05,P00121,cambio_de_opinion,3546.14,2026-04-01
D01005,PED014191,S36,P00192,producto_dañado_en_transporte,1596.01,2026-04-18
D02168,PED002172,S19,P00356,producto_dañado_en_transporte,2097.58,2026-05-06
D02031,PED013440,S14,P01673,producto_dañado_en_transporte,521.05,2026-05-21
D01685,PED018833,S30,P00409,producto_dañado_en_transporte,4322.03,2026-06-03
D03632,PED011414,S08,P02386,envio_incorrecto,6800.73,2026-04-21
D01250,PED001372,S16,P01516,garantia,3629.09,2026-06-04
D02841,PED002482,S36,P00751,producto_dañado_en_transporte,6022.39,2026-01-25
D00091,PED018084,S17,P00042,producto_dañado_en_transporte,4280.3,2026-07-23
D03097,PED018960,S06,P01947,cambio_de_opinion,3143.02,2026-03-19
D00439,PED004828,S37,P01210,producto_dañado_en_transporte,3845.23,2026-06-19
D00134,PED013595,S37,P02908,garantia,1884.14,2026-02-18
D01578,PED009779,S20,P02421,garantia,4194.92,2026-04-15
D00040,PED011754,S28,P01042,cambio_de_opinion,1762.57,2026-03-22
D00001,PED005690,S40,P01983,garantia,2677.68,2026-07-16
D03143,PED003672,S26,P01594,producto_dañado_en_transporte,4066.49,2026-08-03
D01893,PED012190,S26,P01476,cambio_de_opinion,3563.45,2026-02-14
D03490,PED016604,S16,P00861,cambio_de_opinion,6477.9,2026-07-28
D01925,PED006302,S11,P00726,envio_incorrecto,4043.59,2026-08-17
D01506,PED016290,S24,P02653,producto_defectuoso,3476.78,2026-04-24
D00004,PED001897,S24,P02430,garantia,5266.12,2026-05-21
D00205,PED003439,S40,P01327,no_cumple_expectativas,3940.79,2026-02-08
D03092,PED004767,S13,P02669,no_cumple_expectativas,5353.2,2026-04-14
D03789,PED012382,S14,P00486,cambio_de_opinion,4879.82,2026-04-14
D02101,PED013758,S40,P01558,producto_dañado_en_transporte,5588.52,2026-07-18
D00427,PED019694,S19,P01115,producto_defectuoso,1051.19,2026-06-03
D00440,PED003103,S15,P00284,garantia,-2912.8,2026-02-20
D02153,PED010438,S16,P01449,producto_dañado_en_transporte,6313.69,2026-01-25
D01619,PED007675,S12,P00100,envio_incorrecto,2978.3,2026-02-21
D00002,PED018812,S14,P00481,no_cumple_expectativas,6636.92,2026-07-04
D00315,PED018268,S36,P00258,producto_dañado_en_transporte,7484.14,2026-06-05
D02137,PED015237,S32,P00380,envio_incorrecto,3660.3,2026-08-18
D02642,PED013542,S12,P00930,producto_defectuoso,887.87,2026-06-02
D02910,PED005386,S06,P01057,envio_incorrecto,5456.21,2026-03-11
D01084,PED002526,S38,P01902,no_cumple_expectativas,1752.03,2026-04-09
D03399,PED016676,S37,P00091,producto_defectuoso,3187.78,2026-02-26
D02476,PED019156,S14,P01214,no_cumple_expectativas,4159.78,2026-06-25
D00567,PED004125,S39,P01144,,1867.42,2026-07-10
D02467,PED001347,S24,P01454,envio_incorrecto,5095.72,2026-07-20
D03120,PED017967,S04,P00595,producto_defectuoso,957.37,2026-06-20
D00872,PED001414,S18,P01851,envio_incorrecto,7475.02,2026-02-09
D03677,PED013003,S36,P01800,cambio_de_opinion,4916.68,2026-06-10
D01083,PED004736,S05,P01897,producto_defectuoso,5983.82,2026-02-21
D00744,PED001340,S22,P02772,producto_defectuoso,3048.35,2026-01-22
D01942,PED014608,S32,P00967,cambio_de_opinion,5466.23,2026-04-20
D03148,PED015947,S34,P00411,producto_defectuoso,2115.03,2026-03-07
D03487,PED007319,S16,P00205,no_cumple_expectativas,4430.54,2026-04-04
D00656,PED001484,S32,P00193,no_cumple_expectativas,5510.72,2026-01-28
D02302,PED004987,S24,P01991,no_cumple_expectativas,6416.37,2026-01-18
D02118,PED008360,S37,P02990,producto_defectuoso,2176.01,2026-02-12
D03412,PED018718,S12,P01151,,6802.51,2026-04-07
D01457,PED015309,S23,P02061,cambio_de_opinion,6031.48,2026-03-02
D00590,PED012786,S37,P02345,no_cumple_expectativas,2051.35,2026-01-08
D01119,PED019281,S19,P00944,cambio_de_opinion,914.84,2026-04-21
D02005,PED016197,S29,P01046,cambio_de_opinion,239.01,2026-04-18
D01478,PED015327,S11,P00985,garantia,4718.34,2026-04-22
D01726,PED015058,S03,P00371,producto_dañado_en_transporte,7349.43,2026-07-22
D00532,PED011356,S26,P01568,producto_defectuoso,2473.28,2026-02-14
D02465,PED016367,S08,P00410,producto_defectuoso,5096.0,2026-04-25
D01435,PED001034,S20,P01045,garantia,7044.78,2026-05-22
D01952,PED019846,S13,P02671,garantia,2939.32,2026-05-19
D00364,PED002952,S35,P00778,producto_defectuoso,4239.67,2026-04-11
D00090,PED007165,S04,P00526,no_cumple_expectativas,2997.78,2026-06-09
D00972,PED011938,S19,P01041,producto_defectuoso,7406.46,2026-01-21
D01047,PED005499,S06,P01756,producto_defectuoso,1509.14,2026-08-09
D03049,PED008104,S33,P01107,producto_defectuoso,370.36,2026-08-06
D02130,PED002099,S30,P02192,no_cumple_expectativas,5249.34,2026-03-22
D00528,PED005110,S38,P01860,no_cumple_expectativas,6441.63,2026-07-23
D00031,PED003236,S28,P01663,producto_defectuoso,7029.77,2026-07-14
D02759,PED008368,S08,P00462,no_cumple_expectativas,224.92,2026-08-09
D03918,PED002014,S12,P00182,garantia,1987.26,2026-03-24
D02205,PED004409,S08,P02686,garantia,1826.83,2026-04-06
D00198,PED014802,S23,P01993,producto_dañado_en_transporte,1091.19,2026-01-27
D01863,PED016931,S27,P00286,envio_incorrecto,3321.47,2026-07-20
D02396,PED012292,S19,P01437,producto_dañado_en_transporte,3886.79,2026-05-02
D03893,PED007978,S07,P00868,producto_defectuoso,7148.78,2026-04-12
D01706,PED012426,S03,P91083,envio_incorrecto,2266.62,2026-05-05
D00767,PED010401,S24,P00991,envio_incorrecto,2063.73,2026-03-08
D03428,PED009139,S39,P00228,envio_incorrecto,1016.14,2026-03-15
D02920,PED009184,S06,P00885,cambio_de_opinion,1695.51,2026-03-13
D03007,PED011115,S14,P00549,garantia,6744.47,2026-04-27
D00879,PED004216,S01,P02339,envio_incorrecto,2294.64,2026-06-13
D00157,PED012084,S21,P01253,envio_incorrecto,2204.48,2026-08-25
D02968,PED019098,S26,P00127,producto_dañado_en_transporte,3775.14,2026-01-20
D03040,PED009408,S38,P00638,no_cumple_expectativas,172.29,2026-01-25
D01200,PED017610,S25,P01523,cambio_de_opinion,3125.34,2026-06-04
D00407,PED004544,S19,P01504,producto_dañado_en_transporte,3364.66,2026-05-22
D01453,PED011643,S28,P02251,producto_defectuoso,2951.49,2026-01-10
D00521,PED006636,S04,P01578,producto_defectuoso,7624.23,2026-07-15
D03506,PED019888,S26,P00165,no_cumple_expectativas,4812.47,2026-01-25
D03361,PED015409,S13,P00143,producto_defectuoso,6985.34,2026-06-06
D01984,PED012559,S04,P02402,producto_dañado_en_transporte,2452.84,2026-03-03
D00322,PED013969,S12,P92950,producto_dañado_en_transporte,3108.62,2026-06-01
D00794,PED013239,S20,P02836,no_cumple_expectativas,6735.73,2026-05-15
D00171,PED016726,S04,P02683,producto_defectuoso,900.5,2026-05-28
D00626,PED006767,S07,P02110,producto_dañado_en_transporte,3556.49,2026-08-13
D03224,PED004592,S01,P02304,producto_dañado_en_transporte,1908.87,2026-01-28
D03792,PED001582,S16,P00285,no_cumple_expectativas,4700.81,2026-04-09
D02822,PED001903,S11,P02393,producto_dañado_en_transporte,847.14,2026-08-02
D02665,PED002783,S35,P01209,envio_incorrecto,6951.31,2026-08-06
D00418,PED013268,S28,P02527,garantia,2960.28,2026-05-03
D00298,PED009182,S03,P00126,cambio_de_opinion,3231.79,2026-07-04
D02318,PED016596,S30,P00097,no_cumple_expectativas,2114.3,2026-04-22
D03862,PED016097,S13,P02616,garantia,3058.57,2026-01-21
D03505,PED009272,S35,P01778,producto_defectuoso,6092.3,2026-01-28
D02379,PED006630,S11,P02739,no_cumple_expectativas,7740.06,2026-02-24
D01049,PED009079,S12,P00143,envio_incorrecto,5315.38,2026-01-23
D01715,PED002215,S27,P02847,envio_incorrecto,5781.27,2026-06-12
D01831,PED003968,S39,P00044,no_cumple_expectativas,7436.35,2026-01-04
D01248,PED010445,S36,P00597,producto_defectuoso,5085.61,2026-02-20
D02075,PED009297,S29,P02483,envio_incorrecto,235.98,2026-08-11
D03030,PED004270,S08,P02574,producto_dañado_en_transporte,7675.89,2026-03-19
D02288,PED000911,S34,P01701,producto_dañado_en_transporte,6131.41,2026-01-27
D02887,PED005539,S35,P02744,envio_incorrecto,1750.28,2026-07-10
D00547,PED012777,S04,P00240,envio_incorrecto,1065.13,2026-08-03
D00877,PED003472,S39,P00644,cambio_de_opinion,3939.16,2026-03-26
D03928,PED001995,S28,P01635,producto_dañado_en_transporte,1402.18,2026-02-09
D03508,PED011716,S31,P02119,producto_defectuoso,7834.19,2026-03-17
D01256,PED017985,S29,P01447,producto_defectuoso,3776.16,2026-03-08
D02119,PED006162,S16,P02854,envio_incorrecto,400.37,2026-08-23
D03650,PED006276,S25,P00452,no_cumple_expectativas,2542.55,2026-06-20
D00444,PED002386,S39,P01975,no_cumple_expectativas,7530.35,2026-06-14
D03113,PED014704,S15,P01387,cambio_de_opinion,7820.27,2026-06-27
D01605,PED019516,S18,P01818,cambio_de_opinion,2362.15,2026-03-02
D01858,PED000624,S25,P00429,cambio_de_opinion,4533.75,2026-07-18
D00443,PED004635,S28,P02158,,7179.11,2026-06-01
D02678,PED016561,S09,P00499,producto_defectuoso,2055.76,2026-01-08
D00891,PED013802,S37,P01095,garantia,5392.61,2026-01-03
D03124,PED015875,S38,P01523,,4176.22,2026-01-14
D02936,PED017208,S26,P99219,producto_dañado_en_transporte,4737.39,2026-01-02
D02012,PED006365,S29,P01601,producto_dañado_en_transporte,335.92,2026-05-08
D01941,PED007807,S19,P00825,producto_dañado_en_transporte,3413.6,2026-05-03
D01097,PED000480,S28,P01411,,355.24,2026-02-01
D00469,,S22,P00964,cambio_de_opinion,2560.55,2026-05-10
D02670,PED003263,S32,P02421,producto_defectuoso,4205.59,2026-05-05
D02406,PED007634,S03,P02947,cambio_de_opinion,277.5,2026-01-16
D03192,PED001334,S34,P01464,no_cumple_expectativas,5150.32,2026-08-07
D00625,PED002808,S28,P01662,cambio_de_opinion,1947.13,2026-03-27
